,iso_code,year,percent
806,MLT,2016,13.81139444
807,MLT,2017,13.90954337
808,MMR,2010,44.05611525
809,MMR,2011,43.61990347
810,MMR,2012,42.5228124
811,MMR,2013,42.88286944
812,MMR,2014,40.28896854
813,MMR,2015,38.51378205
814,MMR,2016,36.033701
815,MMR,2017,35.55745292
816,MNE,2010,25.0554063
817,MNE,2011,26.62922388
818,MNE,2012,24.68030289
819,MNE,2013,23.27422599
820,MNE,2014,21.94705168
821,MNE,2015,22.55969129
822,MNE,2016,20.92405137
823,MNE,2017,20.78181355
824,MNG,2010,43.30465329
825,MNG,2011,45.36017005
826,MNG,2012,42.6543748
827,MNG,2013,42.32131127
828,MNG,2014,39.29514006
829,MNG,2015,42.51464988
830,MNG,2016,38.22281711
831,MNG,2017,40.11284905
832,MNP,2010,11.926381
833,MNP,2011,12.19962657
834,MNP,2012,11.43999611
835,MNP,2013,10.96502021
836,MNP,2014,10.3134722
837,MNP,2015,10.39771204
838,MNP,2016,9.91775575
839,MNP,2017,9.892981129
840,MOZ,2010,23.56146872
841,MOZ,2011,22.6090715
842,MOZ,2012,22.86760109
843,MOZ,2013,22.63615999
844,MOZ,2014,22.61416414
845,MOZ,2015,21.90588194
846,MOZ,2016,21.47182554
847,MOZ,2017,21.29869546
848,MRT,2010,39.63741338
849,MRT,2011,40.04314497
850,MRT,2012,42.34351169
851,MRT,2013,40.21579155
852,MRT,2014,43.11078408
853,MRT,2015,49.49825592
854,MRT,2016,46.66758772
855,MRT,2017,47.42299178
856,MUS,2010,15.1947729
857,MUS,2011,15.20170165
858,MUS,2012,15.24585596
859,MUS,2013,15.55617651
860,MUS,2014,15.29264823
861,MUS,2015,14.44195579
862,MUS,2016,14.34637947
863,MUS,2017,14.45782732
864,MWI,2010,25.6961984
865,MWI,2011,25.16500891
866,MWI,2012,25.73840151
867,MWI,2013,24.68347878
868,MWI,2014,25.19822884
869,MWI,2015,24.53742932
870,MWI,2016,23.09261542
871,MWI,2017,23.56592147
872,MYS,2010,18.59375306
873,MYS,2011,19.20260869
874,MYS,2012,19.1822225
875,MYS,2013,17.55444704
876,MYS,2014,16.92315529
877,MYS,2015,17.44091023
878,MYS,2016,15.75128619
879,MYS,2017,16.03580871
880,NAM,2010,27.65989633
881,NAM,2011,27.01015451
882,NAM,2012,26.79870806
883,NAM,2013,27.09281609
884,NAM,2014,26.01812153
885,NAM,2015,26.91001673
886,NAM,2016,25.55214196
887,NAM,2017,25.3587654
888,NER,2010,69.15017669
889,NER,2011,72.98276678
890,NER,2012,72.54464459
891,NER,2013,63.03171725
892,NER,2014,60.54135722
893,NER,2015,87.28128201
894,NER,2016,87.70847201
895,NER,2017,94.05381768
896,NGA,2010,52.60906391
897,NGA,2011,50.97308923
898,NGA,2012,56.1296377
899,NGA,2013,49.74068894
900,NGA,2014,48.63337361
901,NGA,2015,75.39899187
902,NGA,2016,71.369601
903,NGA,2017,71.79817438
904,NIC,2010,22.4922691
905,NIC,2011,22.47952015
906,NIC,2012,22.35271161
907,NIC,2013,21.92907575
908,NIC,2014,19.38772134
909,NIC,2015,18.56913277
910,NIC,2016,17.7277291
911,NIC,2017,17.61418045
912,NLD,2010,15.23243025
913,NLD,2011,14.98813864
914,NLD,2012,13.81241373
915,NLD,2013,13.04314511
916,NLD,2014,12.82879707
917,NLD,2015,12.93210515
918,NLD,2016,12.02524278
919,NLD,2017,12.03440807
920,NOR,2010,8.341507223
921,NOR,2011,8.853510781
922,NOR,2012,7.925281241
923,NOR,2013,7.633674824
924,NOR,2014,7.670895927
925,NOR,2015,7.242775336
926,NOR,2016,6.95945733
927,NOR,2017,6.956519803
928,NPL,2010,100.7844279
929,NPL,2011,100.7660607
