iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
LTU,1867,0.002,0.004,0.19,0.015,0.14,0.004,0.021,0.033,0.01,0.128,0.0,14.76,1553388.0,4.262833333333333,1.0759999999999998
LVA,1867,0.002,0.002,0.09,0.007,0.07,0.003,0.017,0.021,0.0,0.082,0.0,14.76,1265100.0,3.395666666666667,1.069
NLD,1867,0.01,0.037,1.85,0.121,1.15,-0.176,1.15,4.041,0.85,89.141,0.87,-4.17,3513747.0,9.1715,1.0140833333333332
NOR,1867,0.002,0.004,0.18,0.007,0.07,0.099,0.366,0.619,0.13,6.899,0.07,19.01,1692209.0,-1.654583333333333,1.529
ROU,1867,0.002,0.022,1.11,0.11,1.04,0.004,0.002,0.022,0.0,0.11,0.0,20.0,8968501.0,8.456999999999999,1.249666666666667
SWE,1867,0.001,0.004,0.19,0.015,0.14,-0.077,0.255,1.037,0.22,12.806,0.13,-6.91,4060677.0,0.1192500000000002,1.0893333333333337
TJK,1867,0.001,0.001,0.03,0.002,0.02,0.001,0.015,0.011,0.0,0.042,0.0,14.76,714663.0,4.2668333333333335,2.2510833333333333
TKM,1867,0.008,0.004,0.21,0.016,0.15,0.003,0.047,0.027,0.01,0.104,0.0,14.76,563371.0,14.783833333333336,2.254
UKR,1867,0.0,0.006,0.29,0.022,0.21,0.079,0.035,0.612,0.13,2.393,0.02,14.76,17277490.0,7.037916666666665,1.1450833333333332
UZB,1867,0.003,0.008,0.38,0.029,0.28,0.011,0.029,0.086,0.02,0.335,0.0,14.76,2935338.0,12.535166666666663,2.425
ARM,1868,0.002,0.001,0.04,0.003,0.02,-0.001,0.01,0.006,0.0,0.034,0.0,-16.8,638186.0,8.273583333333333,1.29925
AUT,1868,0.008,0.037,1.6,0.088,0.69,1.158,1.36,6.071,1.24,117.875,1.1,23.56,4463191.0,7.250083333333333,0.9045
AZE,1868,0.018,0.025,1.09,0.103,0.8,-0.007,0.026,0.035,0.01,0.199,0.0,-16.8,1365052.0,10.973833333333332,1.413
BLR,1868,0.005,0.018,0.78,0.06,0.47,-0.015,0.02,0.073,0.01,0.416,0.0,-16.8,3656389.0,6.203250000000001,1.0029166666666665
CAN,1868,0.023,0.084,3.68,0.356,2.78,-0.649,0.258,0.945,0.19,9.68,0.09,-40.69,3670173.0,-5.805,1.9645
DEU,1868,0.006,0.22,9.6,0.546,4.26,5.214,1.918,74.368,15.15,996.905,9.31,7.54,38766380.0,9.36025,0.842
EST,1868,0.001,0.0,0.02,0.001,0.01,-0.005,0.044,0.026,0.01,0.151,0.0,-16.8,594747.0,5.070166666666667,0.9731666666666666
FRA,1868,0.002,0.066,2.88,0.718,5.61,1.253,1.461,55.532,11.32,1035.743,9.68,2.31,38010729.0,13.267666666666663,1.1521666666666668
GEO,1868,0.001,0.002,0.08,0.006,0.05,-0.002,0.006,0.011,0.0,0.062,0.0,-16.8,1661766.0,7.681833333333333,1.1475833333333334
ITA,1868,0.004,0.106,4.64,0.231,1.8,0.227,0.062,1.696,0.35,10.516,0.1,15.46,27436959.0,12.9035,0.8184166666666667
KAZ,1868,0.001,0.003,0.11,0.008,0.06,-0.035,0.055,0.174,0.04,0.993,0.01,-16.8,3149995.0,4.662416666666667,2.118333333333333
KGZ,1868,0.001,0.001,0.03,0.002,0.01,-0.003,0.019,0.015,0.0,0.088,0.0,-16.8,820625.0,2.768666666666667,2.4553333333333334
LTU,1868,0.004,0.006,0.27,0.021,0.16,-0.006,0.017,0.027,0.01,0.155,0.0,-16.8,1576426.0,6.511583333333333,0.926
LVA,1868,0.002,0.003,0.14,0.01,0.08,-0.004,0.014,0.017,0.0,0.1,0.0,-16.8,1285631.0,5.757083333333334,0.9550833333333332
NLD,1868,0.013,0.048,2.08,0.169,1.32,0.198,1.196,4.239,0.86,93.381,0.87,4.9,3543135.0,10.729083333333334,0.8859166666666667
NOR,1868,0.002,0.004,0.16,0.011,0.09,0.015,0.372,0.634,0.13,7.533,0.07,2.37,1706400.0,0.2804166666666668,1.3821666666666663
ROU,1868,0.003,0.026,1.12,0.136,1.06,0.004,0.003,0.026,0.01,0.136,0.0,16.67,9028965.0,9.018,1.1250000000000002
